o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
5255,634,O,98826.70,1996-07-12,5-LOW,Clerk#000000591,0,"telets haggle fluffily quickly final deposits. regular, e"
5280,329,O,110094.95,1997-12-03,3-MEDIUM,Clerk#000000604,0,refully unusual accounts? furiously final requests run furiously. ironic depo
5281,1240,O,232387.44,1995-11-02,2-HIGH,Clerk#000000158,0,"sual, regular deposits"
5282,499,O,126638.39,1998-01-30,1-URGENT,Clerk#000000030,0,ven theodolites. express requests boost-- fluffily even d
5283,1309,F,19969.25,1994-06-04,3-MEDIUM,Clerk#000000579,0,ithely bold deposits. asymptotes doubt
5284,608,O,58961.47,1995-07-09,4-NOT SPECIFIED,Clerk#000000155,0,press packages. blithely fina
5285,700,F,142725.60,1994-01-18,2-HIGH,Clerk#000000976,0,"riously pending packages? pending, unus"
5286,1156,O,119200.31,1997-09-26,5-LOW,Clerk#000000606,0, haggle slyly along the furiously silent requests. quickly bold
5287,250,F,41064.04,1993-12-22,5-LOW,Clerk#000000406,0,ke slyly upon the furiously unusual packages. ironic accounts nag c
5312,649,F,82451.06,1995-02-24,2-HIGH,Clerk#000000690,0, detect blithely unusua
5313,130,O,199395.07,1997-06-17,4-NOT SPECIFIED,Clerk#000000896,0,ckly express deposits. regular deposits cajole furi
5314,331,O,29612.61,1995-06-02,2-HIGH,Clerk#000000617,0,inal Tiresias will promise furiou
5315,1387,F,84399.32,1992-10-29,4-NOT SPECIFIED,Clerk#000000035,0,"rbits. even, pending accounts against the bli"
5316,997,F,68793.55,1994-01-31,1-URGENT,Clerk#000000734,0,ainst the furiously even accounts are blithely against the carefully final de
5317,367,F,322782.46,1994-09-09,5-LOW,Clerk#000000687,0,iet instructions? fluffily fin
5318,590,F,140892.20,1993-04-04,2-HIGH,Clerk#000000663,0,s wake quickly according to the furiously pending instructions. accou
5319,979,O,94253.83,1996-01-21,1-URGENT,Clerk#000000237,0,lar requests. bold reques
5344,1072,O,139337.42,1998-06-21,3-MEDIUM,Clerk#000000569,0,"ts use. ironic, final packages slee"
5345,304,O,154585.90,1997-08-24,1-URGENT,Clerk#000000057,0,ular packages. pinto beans cajole furiously expres
5346,367,F,213859.93,1993-12-26,2-HIGH,Clerk#000000220,0,"even, final packages. final, regular deposits cajole quickly alongside of t"
5347,478,F,237559.02,1995-02-22,3-MEDIUM,Clerk#000000180,0, ideas doubt. blithely idle re
5348,524,O,151375.82,1997-11-08,5-LOW,Clerk#000000497,0,final packages. carefully express r
5349,670,O,52011.10,1996-09-01,1-URGENT,Clerk#000000960,0,egular asymptotes haggle blithely after the slyly final foxes
5350,745,F,159518.11,1993-10-10,5-LOW,Clerk#000000604,0,busily: theodolites sleep slyly after the carefully e
5351,1213,O,91753.68,1998-05-11,1-URGENT,Clerk#000000443,0,"posits. regular, ironic ideas doubt silently alon"
5376,1486,F,166038.52,1994-07-04,5-LOW,Clerk#000000392,0,ly bold theodolites. blithely bold pinto 
5377,623,O,162417.75,1997-04-24,2-HIGH,Clerk#000000917,0,less theodolites nag carefully re
5378,412,F,144404.53,1992-10-25,1-URGENT,Clerk#000000520,0,"ly furiously bold attainments. regular, pending accounts nag carefully final, "
5379,884,O,80830.65,1995-08-08,2-HIGH,Clerk#000000503,0,lly final requests. ironic patterns breach blith
5380,1462,O,163456.68,1997-10-12,1-URGENT,Clerk#000000481,0,eep. blithely regular foxes integrate dogge
5381,311,F,309639.39,1993-01-29,5-LOW,Clerk#000000531,0,efully after the quickly regular pinto beans. ironic decoys wake
5382,344,F,177903.56,1992-01-13,5-LOW,Clerk#000000809,0,. quietly special theodolites boost ca
5383,308,O,21345.98,1995-05-26,5-LOW,Clerk#000000409,0,. furiously even foxes along the blithely special requests are quickly e
5408,223,F,175098.30,1992-07-21,5-LOW,Clerk#000000735,0,"al theodolites. ironic, ironic i"
5409,127,F,190710.92,1992-01-09,5-LOW,Clerk#000000171,0,"e regular instructions: final, u"
5410,202,O,152792.92,1998-07-28,4-NOT SPECIFIED,Clerk#000000117,0,"es. deposits cajole quickly. regular, unusual accounts wake carefully"
5411,598,O,81721.30,1997-05-16,3-MEDIUM,Clerk#000000800,0,lent dependencies. accounts 
5412,1408,O,186066.37,1998-01-20,2-HIGH,Clerk#000000151,0,tions. blithely regular accounts wake carefully around the s
5413,940,O,275955.54,1997-10-17,1-URGENT,Clerk#000000066,0,uts. slyly bold patterns integrate
5414,995,F,229650.28,1993-03-25,4-NOT SPECIFIED,Clerk#000000242,0,kages maintain carefully ironic tithes. slyly express accounts t
5415,221,F,204898.67,1992-08-05,3-MEDIUM,Clerk#000000998,0,lar theodolites along the blithe deposits wake alongsid
5440,1291,O,3309.00,1997-01-12,1-URGENT,Clerk#000000154,0,lyly. furiously even deposits nag stealthily pending deposits. furio
5441,401,F,179096.05,1994-07-21,4-NOT SPECIFIED,Clerk#000000257,0,s around the carefully iron
5442,413,O,204762.90,1998-01-13,4-NOT SPECIFIED,Clerk#000000954,0, fluffily deposits. carefully bold pinto b
5443,1306,O,203531.90,1996-10-10,4-NOT SPECIFIED,Clerk#000000492,0,slyly. foxes might nag blithely across the unusual depos
5444,1288,P,247984.02,1995-03-18,1-URGENT,Clerk#000000677,0,ding requests. blithely pending asymptotes haggle
5445,1150,F,144557.32,1993-07-26,5-LOW,Clerk#000000623,0,regular deposits use. even platelets mold above t
5446,56,F,49289.08,1994-06-21,5-LOW,Clerk#000000304,0,ly blithely express 
5447,130,O,54828.65,1996-03-16,3-MEDIUM,Clerk#000000597,0,"lar requests. bold, pending packages nag carefully. pa"
5472,686,F,349883.98,1993-04-11,5-LOW,Clerk#000000552,0,"press pinto beans are regular, even accounts. special packages n"
5473,641,F,88121.08,1992-03-25,4-NOT SPECIFIED,Clerk#000000306,0,"usual accounts x-ray fluffily special, ironic pinto beans. "
5474,538,F,217534.09,1992-06-01,4-NOT SPECIFIED,Clerk#000000487,0,final pinto beans across the accounts s
5475,1372,O,16971.18,1996-07-07,5-LOW,Clerk#000000856,0,ironic accounts. sometimes ironic packages x-ray blithely a
5476,898,O,35392.02,1997-11-06,1-URGENT,Clerk#000000189,0,pending requests. unusual packages haggle furiously. asymptot
5477,1061,O,198571.43,1997-12-30,5-LOW,Clerk#000000689,0," blithely even, ironic depo"
5478,1153,O,102065.07,1996-05-17,1-URGENT,Clerk#000000272,0,nts boost. slyly special instructions are about the s
5479,697,F,81438.25,1993-12-22,3-MEDIUM,Clerk#000000335,0,ns; regular dependencies must have to
5504,178,F,60408.91,1993-01-06,2-HIGH,Clerk#000000221,0,riously ironic accounts prom
5505,943,O,207951.17,1997-10-04,5-LOW,Clerk#000000719,0,ironic foxes. final accounts dazzle ironic asymptotes-- theodolites haggle 
5506,907,F,11496.86,1993-11-08,1-URGENT,Clerk#000000292,0,usly even packages hagg
5507,17,O,176100.92,1998-05-28,5-LOW,Clerk#000000692,0,ounts. deposits are fluffily stealthy dolphins. f
5508,557,O,4010.45,1996-06-21,1-URGENT,Clerk#000000128,0,eans. carefully final accounts dazzle fluffily according to 
5509,793,F,235588.34,1994-04-08,5-LOW,Clerk#000000164,0,"grate fluffily across the even, final deposits. pending deposits cajole a"
5510,361,F,163179.38,1993-01-08,3-MEDIUM,Clerk#000000819,0,sits. furiously ironic fo
5511,773,F,191746.63,1994-11-29,1-URGENT,Clerk#000000438,0," sleep slyly. silent, special deposits affix near the carefully unusual so"
5536,1151,O,161021.95,1998-03-16,4-NOT SPECIFIED,Clerk#000000076,0,"ccounts wake. daring, ironic packages shall doubt-- regular pac"
5537,1178,O,157429.58,1996-10-03,3-MEDIUM,Clerk#000000742,0, asymptotes detect along
5538,1384,F,119417.57,1993-12-25,1-URGENT,Clerk#000000992,0,"ions are after the furiously special deposits. busy, regular theodoli"
5539,1189,F,63099.20,1994-07-31,5-LOW,Clerk#000000675,0,"oss the regular, regular packages. final, even packages use unusual"
5540,1285,O,144175.37,1996-10-12,4-NOT SPECIFIED,Clerk#000000120,0,s sleep. blithely final pinto bea
5541,1423,O,69883.38,1997-09-30,3-MEDIUM,Clerk#000000217,0,ully final theodolites nag from the carefully regular instructions. s
5542,481,O,10491.88,1996-04-20,4-NOT SPECIFIED,Clerk#000000100,0,d nag quickly! slyly bold ideas are fur
5543,1150,F,165445.62,1993-09-25,3-MEDIUM,Clerk#000000644,0,"special, even dependencies. fluffily bold excuses engage carefu"
5568,295,O,164846.25,1995-06-07,3-MEDIUM,Clerk#000000491,0, instructions unwind. bli
5569,1088,F,183119.70,1993-04-30,4-NOT SPECIFIED,Clerk#000000759,0,uriously final instructions maintain fluffily aft
5570,1106,O,114869.30,1996-08-12,2-HIGH,Clerk#000000795,0,"y final orbits above the regular,"
5571,1021,F,130352.45,1992-12-19,4-NOT SPECIFIED,Clerk#000000184,0,quickly across the regular packages. ironic foxes
5572,73,F,236455.84,1994-07-17,2-HIGH,Clerk#000000163,0,tructions: blithely pending accounts after the iro
5573,358,O,200471.60,1996-08-15,3-MEDIUM,Clerk#000000055,0,"lyly around the regular, regular accounts. fluffily dari"
5574,268,F,194685.04,1992-03-10,4-NOT SPECIFIED,Clerk#000000002,0, about the quickly regular exc
5575,1012,O,71308.78,1995-07-24,5-LOW,Clerk#000000948,0,final deposits. slyly special
5600,941,O,77497.53,1997-02-08,4-NOT SPECIFIED,Clerk#000000019,0,dinos are carefully. even
5601,110,F,175212.24,1992-01-06,2-HIGH,Clerk#000000827,0,es even dependencies solve fluffily p
5602,1294,O,108142.13,1997-07-30,3-MEDIUM,Clerk#000000395,0,usy dependencies wake
5603,703,F,205166.88,1992-06-20,4-NOT SPECIFIED,Clerk#000000535,0,deas haggle unusual ideas. furiously regular accounts nag careful
5604,443,O,124425.17,1998-04-14,4-NOT SPECIFIED,Clerk#000000123,0, along the quickly stealthy ideas. blithely unusua
5605,346,O,278023.41,1996-08-22,2-HIGH,Clerk#000000538,0,"n, final sheaves boost after the slyly regular deposits. ironic "
5606,1486,O,330692.08,1996-11-12,5-LOW,Clerk#000000688,0,slyly ironic theodolites. carefully unusu
5607,911,F,29084.44,1992-01-01,4-NOT SPECIFIED,Clerk#000000137,0,"arefully regular deposits unwind after the regular, bold p"
5632,784,O,106861.13,1996-02-05,1-URGENT,Clerk#000000508,0,cross the furiously silent ideas breach quickly carefully ironic 
5633,775,O,302286.82,1998-05-31,3-MEDIUM,Clerk#000000841,0,luffy foxes detect silently fur
5634,677,O,147338.82,1996-07-31,3-MEDIUM,Clerk#000000915,0,ully after the blithely daring requests. carefully thin instruction
5635,686,F,273995.47,1992-08-16,3-MEDIUM,Clerk#000000734,0,y regular packages use furiously blithely bold foxes? qui
5636,1214,F,200472.48,1995-02-16,3-MEDIUM,Clerk#000000916,0,"al instructions. foxes must sleep final, bold deposits. final, fina"
5637,1030,O,194938.85,1996-06-17,3-MEDIUM,Clerk#000000183,0,eodolites boost blithely. furiously ironic accounts are sl
5638,1078,F,104992.42,1994-01-17,1-URGENT,Clerk#000000355,0,thely unusual requests above the furiously ironic deposits affix quick
5639,1450,F,13962.03,1994-06-02,3-MEDIUM,Clerk#000000005,0, fluffily. theodolites haggle. blithely regular braids haggle carefully 
5664,1186,O,241226.07,1998-07-23,2-HIGH,Clerk#000000789,0,furiously unusual Tires
5665,994,F,162407.28,1993-06-28,4-NOT SPECIFIED,Clerk#000000513,0,h furiously slowly regular accounts. slyly bold excuses are. bold fo
5666,139,F,158442.98,1994-02-02,2-HIGH,Clerk#000000396,0, along the final deposits nag alongside 
5667,434,O,48054.70,1995-08-10,1-URGENT,Clerk#000000358,0,ironic accounts believe carefully amo
5668,1088,F,14179.13,1995-03-22,4-NOT SPECIFIED,Clerk#000000047,0,slyly about the slyly final 
5669,736,O,168537.13,1996-05-06,1-URGENT,Clerk#000000336,0,ix slyly across the quietly re
5670,64,F,153552.69,1993-04-21,5-LOW,Clerk#000000922,0,ly regular accounts? slyly special foxes nag blithely-- special plat
5671,418,O,195159.38,1998-02-06,2-HIGH,Clerk#000000838,0,! blithely regular acc
5696,1411,P,274605.94,1995-05-04,1-URGENT,Clerk#000000447,0,cross the slyly pendin
5697,541,F,136651.75,1992-10-05,1-URGENT,Clerk#000000112,0,"egular, regular instructions integrate slyly according to t"
5698,943,F,204527.94,1994-05-21,3-MEDIUM,Clerk#000000455,0,to beans along the final deposits use furiously along the slyly ironic ins
5699,1414,F,300221.03,1992-07-30,5-LOW,Clerk#000000311,0,t blithely. furiously regular requests sleep? furiously even ins
5700,1427,O,97397.92,1997-12-25,1-URGENT,Clerk#000000618,0,dependencies. pinto beans along the fluffily final 
5701,421,O,25111.71,1997-02-07,5-LOW,Clerk#000000798,0, pinto beans use requests. regula
5702,967,F,235263.35,1993-09-07,4-NOT SPECIFIED,Clerk#000000743,0,s. daringly final accounts integrate. final dependencies was fin
5703,1196,F,3268.07,1993-05-16,3-MEDIUM,Clerk#000000647,0, cajole blithely ironic accounts. furious
5728,793,F,120489.88,1994-12-11,4-NOT SPECIFIED,Clerk#000000426,0,g requests. blithely 
5729,434,F,93102.37,1994-10-10,2-HIGH,Clerk#000000843,0,"nst the regular, bold pla"
5730,110,O,18116.22,1997-12-18,1-URGENT,Clerk#000000181,0,en packages. quickly final accounts sleep against the
5731,79,O,80961.79,1997-05-17,5-LOW,Clerk#000000841,0,ding to the idle requests? slyly regular package
5732,352,O,35016.82,1997-08-03,1-URGENT,Clerk#000000910,0,ptotes maintain blithely furiously ironic instructions. deposits cajole. reque
5733,1003,F,50786.52,1993-03-17,2-HIGH,Clerk#000000873,0,en dependencies. quickly regular requests cajole. special warho
5734,925,O,71965.89,1997-10-12,3-MEDIUM,Clerk#000000084,0,ies boost slyly after the express dolp
5735,395,F,61436.03,1994-12-11,3-MEDIUM,Clerk#000000600,0,sits sleep. blithely even in
5760,241,F,68043.47,1994-05-25,4-NOT SPECIFIED,Clerk#000000498,0, pinto beans detect slyly. slyly pending excuses cajole fluffily final ac
5761,151,O,184256.14,1998-07-06,3-MEDIUM,Clerk#000000208,0,ess ideas grow fluffily special depos
5762,481,O,217243.20,1997-02-14,1-URGENT,Clerk#000000901,0,r deposits use carefully. slyly silent theodolites sleep furiously abo
5763,74,O,165052.79,1998-06-26,4-NOT SPECIFIED,Clerk#000000633,0,ndencies; slyly special pinto beans along the carefully regular depen
5764,1306,F,68406.47,1993-10-03,4-NOT SPECIFIED,Clerk#000000363,0,. blithely regular deposits after the slyly ironic de
5765,518,F,354366.71,1994-12-15,5-LOW,Clerk#000000959,0, accounts cajole across the ruthless asymptotes. blithe
5766,476,F,62642.11,1993-09-27,5-LOW,Clerk#000000753,0,jole among the even pinto beans. furious
5767,1174,F,204654.62,1992-04-29,2-HIGH,Clerk#000000225,0,losely according to the idle
5792,256,F,216427.94,1993-04-04,2-HIGH,Clerk#000000731,0,onic excuses cajole slyly. blithely special deposits nag furiou
5793,362,O,169572.44,1997-07-13,2-HIGH,Clerk#000000294,0, express ideas detect carefull
5794,80,F,152918.94,1993-04-05,5-LOW,Clerk#000000855,0,rets after the regular requests sleep
5795,368,F,59513.90,1992-05-05,2-HIGH,Clerk#000000581,0,ronic requests. regular deposits do
5796,1493,O,35978.09,1996-01-23,3-MEDIUM,Clerk#000000326,0,"efully final deposits boost regular, even foxes. stealthy dependen"
5797,1216,O,24070.20,1997-10-15,4-NOT SPECIFIED,Clerk#000000381,0,he blithely regular accounts. quick
5798,1057,O,149833.20,1998-03-30,5-LOW,Clerk#000000343,0,"lly about the unusual, pending deposits. even accounts haggle blithely s"
5799,260,O,133862.33,1995-08-03,1-URGENT,Clerk#000000238,0,s affix slyly furiously regular ideas. blithely regular packages sleep s
5824,556,O,255277.52,1996-12-03,2-HIGH,Clerk#000000171,0,aggle slyly alongside of the slyly ironic instructions. carefully
5825,607,F,32267.34,1995-02-21,5-LOW,Clerk#000000494,0,he ideas. furiously regular a
5826,217,O,32370.45,1998-06-13,1-URGENT,Clerk#000000087,0,". ironic, final ideas h"
5827,305,O,179433.51,1998-07-23,3-MEDIUM,Clerk#000000660,0,ajole fluffily along the silent deposi
5828,1270,F,77774.16,1994-03-06,5-LOW,Clerk#000000377,0,e slyly regular sentiments? blithely fi
5829,1246,O,274279.62,1997-01-11,1-URGENT,Clerk#000000196,0,ly bold instructions. carefully regular asymptotes after the 
5830,836,F,39788.96,1993-03-25,3-MEDIUM,Clerk#000000233,0,sleep slyly according to the furiously unusual sheaves.
5831,1387,O,159764.61,1996-11-17,5-LOW,Clerk#000000585,0,al packages. blithely careful requests na
5856,361,F,95904.56,1994-11-06,2-HIGH,Clerk#000000634,0,bold deposits boost furiously: ironic instructions print slyly 
5857,1231,O,263158.48,1997-11-06,4-NOT SPECIFIED,Clerk#000000267,0,ffily quietly ironic instructions
5858,625,F,227582.06,1992-07-14,4-NOT SPECIFIED,Clerk#000000580,0," quickly among the pending, regular depths. packages detect quickl"
5859,43,O,320141.27,1997-04-23,1-URGENT,Clerk#000000993,0,esias sleep against the warhorses. furiously ironic accounts haggle slyly f
5860,127,F,14002.56,1992-02-20,4-NOT SPECIFIED,Clerk#000000079,0,ns. slyly ironic dependencies cajole carefully
5861,1387,O,69464.42,1997-04-10,3-MEDIUM,Clerk#000000094,0,ake blithely; quickly final instructions boost permanently.
5862,628,O,30940.39,1997-02-20,1-URGENT,Clerk#000000039,0,ly according to the accounts. carefully ironic pinto be
5863,641,F,96316.78,1993-11-22,3-MEDIUM,Clerk#000000774,0,quests. special pinto beans detect bold deposits. doggedly final d
5888,448,O,92148.63,1996-09-28,3-MEDIUM,Clerk#000000748,0,"lites. carefully regular packages past the unusual, iro"
5889,209,O,26237.34,1995-05-23,5-LOW,Clerk#000000690,0,equests boost furiously about the
5890,487,F,41609.58,1992-11-04,2-HIGH,Clerk#000000013,0,after the regular requests: c
5891,452,F,68375.28,1992-12-29,3-MEDIUM,Clerk#000000302,0,s. fluffily ironic deposit
5892,1003,P,122565.47,1995-05-09,5-LOW,Clerk#000000639,0,uests along the furi
5893,19,F,53359.53,1992-07-08,4-NOT SPECIFIED,Clerk#000000560,0,its. carefully ironic requests use quick foxes. fluffily e
5894,703,F,107123.24,1994-08-13,2-HIGH,Clerk#000000776,0,l accounts! carefully
5895,622,O,284265.76,1997-01-01,4-NOT SPECIFIED,Clerk#000000747,0,s the furiously even sauternes. slyly express dependencies cajole slyl
5920,1189,F,227213.95,1994-11-20,2-HIGH,Clerk#000000081,0,"es. unusual, express excuses impress carefully across the slyly final"
5921,571,F,224503.60,1994-04-07,5-LOW,Clerk#000000125,0,somas are. quickly final fox
5922,1426,O,224288.29,1996-11-14,5-LOW,Clerk#000000625,0,le blithely blithely close pinto beans. slyly even sentiments haggle carefull
5923,1003,O,220218.91,1997-05-27,2-HIGH,Clerk#000000304,0,ccounts sleep quickly ironic accounts. regular requests a
5924,305,O,154229.85,1995-10-10,3-MEDIUM,Clerk#000000433,0,regular deposits. slyly regular courts cajole bl
5925,1453,O,373674.80,1995-11-13,5-LOW,Clerk#000000602,0,nstructions wake after the asymptotes. express deposits are after the 
5926,748,F,146768.49,1994-05-20,5-LOW,Clerk#000000071,0,equests wake quickly according to the 
5927,1153,O,136294.71,1997-08-28,4-NOT SPECIFIED,Clerk#000000972,0," patterns? blithely final ideas use never regular realms. ironic, ironic asymp"
5952,1462,O,209693.87,1997-04-14,3-MEDIUM,Clerk#000000950,0,counts. blithely sp
5953,58,F,117651.40,1992-03-28,1-URGENT,Clerk#000000049,0,ly. carefully express packages alongside
5954,268,F,282400.28,1992-12-03,1-URGENT,Clerk#000000968,0,even deposits nag blithe
5955,922,P,79722.29,1995-03-27,5-LOW,Clerk#000000340,0,regular deposits haggle about the f
5956,208,O,166980.55,1998-05-18,1-URGENT,Clerk#000000587,0,al deposits sleep slyly reg
5957,883,F,312733.08,1993-12-27,2-HIGH,Clerk#000000020,0,"ously regular deposits are atop the even, ironic packages. deposits are amo"
5958,1141,O,191632.81,1995-09-16,3-MEDIUM,Clerk#000000787,0,"ites alongside of the even, regular ideas g"
5959,230,F,253103.52,1992-05-15,3-MEDIUM,Clerk#000000913,0,"he carefully final accounts. regular, silent depths along the quickly final"
5984,688,F,114443.53,1994-06-18,5-LOW,Clerk#000000023,0,"usual ideas. unusual, regular dolphins haggle. carefully regu"
5985,1430,F,7032.58,1995-01-12,3-MEDIUM,Clerk#000000417,0, slyly special courts are blithely regular accounts. p
5986,1147,F,157431.69,1992-04-22,2-HIGH,Clerk#000000674,0,carefully final requests? bl
5987,637,O,175766.07,1996-08-03,1-URGENT,Clerk#000000464,0,y regular deposits print carefully-- quickly ironic instruction
5988,293,F,63006.40,1993-11-22,4-NOT SPECIFIED,Clerk#000000867,0,usly final deposits wake careful
5989,710,O,351029.36,1995-10-15,3-MEDIUM,Clerk#000000028,0,carefully above the blithely ironic warthogs.
5990,649,F,171275.64,1993-04-08,1-URGENT,Clerk#000000831,0,requests try to haggle slyly across
5991,1418,F,47884.84,1994-05-06,2-HIGH,Clerk#000000356,0,sts boost along the sometimes 
6016,217,F,97868.02,1992-01-21,2-HIGH,Clerk#000000119,0,deposits alongside of the slyly regular excuses haggle carefu
6017,487,F,144069.95,1995-01-31,1-URGENT,Clerk#000000714,0,s cajole furiously. fluffily final pin
6018,833,F,21700.13,1992-08-19,5-LOW,Clerk#000000919,0, the daringly unusual packages
6019,568,F,35683.15,1993-08-06,5-LOW,Clerk#000000153,0,pecial orbits. ironic decoys integrate quickly. ruthless ho
6020,73,F,324458.58,1994-09-22,3-MEDIUM,Clerk#000000422,0,eas wake blithely aft
6021,685,O,217068.20,1997-11-06,5-LOW,Clerk#000000637,0,nments are fluffily according to the d
6022,13,F,304442.62,1995-02-13,1-URGENT,Clerk#000000899,0,detect according to the slyly pending 
6023,1111,O,223643.68,1998-04-10,4-NOT SPECIFIED,Clerk#000000373,0,es detect across the bl
6048,1366,O,145836.84,1996-04-13,5-LOW,Clerk#000000456,0,he slyly final deposits wake against 
6049,446,O,202122.63,1998-03-10,3-MEDIUM,Clerk#000000242,0, packages should have to integrate alongside of the express requests. sil
6050,1339,F,168613.74,1993-03-29,5-LOW,Clerk#000000860,0,. quickly express foxes
6051,538,O,257453.48,1998-05-13,3-MEDIUM,Clerk#000000077,0,nal requests sleep. final requests mold slyly. carefully f
6052,841,F,75561.24,1993-04-16,1-URGENT,Clerk#000000812,0,"nto beans wake furiously among the carefully regular deposits. even, pending "
6053,1342,F,74179.94,1993-12-12,3-MEDIUM,Clerk#000000262,0,d excuses haggle slyly unusual deposits. permanent attainmen
6054,16,O,122472.87,1995-09-09,5-LOW,Clerk#000000610,0,affix carefully bold packages. slyly final dugouts wake amon
6055,955,O,189694.43,1996-11-11,1-URGENT,Clerk#000000643,0,iously regular requests sleep blithely along the ideas. even theodolites
6080,424,O,68924.97,1996-06-05,4-NOT SPECIFIED,Clerk#000000321,0, ideas nod. pending foxes nod slyly. quickly bold theodolites integrate fluffi
6081,1406,O,198298.89,1997-11-05,1-URGENT,Clerk#000000663,0,"g asymptotes. ironic, unusual platelets wake slyly slyly regular Tire"
6082,1387,O,110494.23,1996-03-03,1-URGENT,Clerk#000000820,0,the dependencies. dependen
6083,1214,O,96646.65,1996-07-16,5-LOW,Clerk#000000462,0,tain carefully regular requests. blithely unusual deposits about the ironic s
6084,620,O,114526.08,1996-12-17,2-HIGH,Clerk#000000797,0,tructions. furiously silent requests sle
6085,553,O,41700.15,1998-02-09,3-MEDIUM,Clerk#000000340,0,"pending realms are alongside of the express, ironic r"
6086,659,O,236234.94,1995-09-23,1-URGENT,Clerk#000000743,0,requests! blithely regular deposits try to wake blithel
6087,736,O,292400.53,1998-01-10,2-HIGH,Clerk#000000829,0,al packages. furiously unusual pinto beans sleep alo
6112,58,F,157784.88,1994-08-24,3-MEDIUM,Clerk#000000021,0,lent excuses. blithely 
6113,575,O,241087.35,1998-07-16,4-NOT SPECIFIED,Clerk#000000806,0,. blithely regular ideas sleep quickly-- furiously special 
6114,850,O,136395.05,1998-04-12,5-LOW,Clerk#000000282,0, beans haggle. furiously
6115,1441,F,247369.15,1993-09-12,3-MEDIUM,Clerk#000000363,0,nstructions poach furiously. furious
6116,1348,F,211977.10,1994-03-21,3-MEDIUM,Clerk#000000605,0,y across the slyly ironic Tiresias. ironically quiet deposits sleep careful
6117,167,F,183526.40,1992-12-22,1-URGENT,Clerk#000000763,0,ut the express pack
6118,1270,O,170763.15,1997-03-26,5-LOW,Clerk#000000720,0,"lyly above the regular, bold deposits. furiously "
6119,1093,F,79171.18,1992-07-04,2-HIGH,Clerk#000000354,0,"fully after the final, even accounts. ironic deposits against the"
6144,244,F,115377.95,1994-06-22,1-URGENT,Clerk#000000444,0,riously slyly special platelets. 
6145,856,O,26852.63,1998-04-12,5-LOW,Clerk#000000211,0, pinto beans: quickly special accounts hagg
6146,160,O,92229.34,1995-12-01,5-LOW,Clerk#000000362,0,"y ironic accounts hang even, silent reque"
6147,869,O,182519.92,1995-10-02,1-URGENT,Clerk#000000134,0,to lose quickly slyly 
6148,445,O,92042.57,1995-12-25,3-MEDIUM,Clerk#000000291,0, ideas. final accoun
6149,623,O,1864.64,1996-11-17,5-LOW,Clerk#000000964,0, the furiously even 
6150,886,F,250974.95,1992-10-02,1-URGENT,Clerk#000000064,0,ess dolphins detect blithely along the carefu
6151,370,F,60686.70,1993-07-12,1-URGENT,Clerk#000000807,0,ise slyly among the regular
6176,115,O,79069.17,1996-11-11,5-LOW,Clerk#000000531,0,"ss, even dependencies"
6177,1097,O,137708.62,1997-06-30,4-NOT SPECIFIED,Clerk#000000539,0,ounts. furiously unusual deposits haggle packages! carefully 
6178,650,O,58530.98,1995-08-09,2-HIGH,Clerk#000000817,0,"kly ironic, unusual packages. slyly ironic escapades sleep furiously. "
6179,1231,F,229557.30,1994-06-03,4-NOT SPECIFIED,Clerk#000000741,0,eodolites use carefully furiously regular dependenci
6180,398,F,121314.01,1995-04-12,3-MEDIUM,Clerk#000000807,0, slyly regular packages across the slyly bold asymptotes wa
6181,499,O,44313.40,1996-05-15,2-HIGH,Clerk#000000441,0,across the furiously final asymptotes. carefully ironic packages are final 
6182,1465,F,272647.03,1992-07-22,5-LOW,Clerk#000000149,0,slyly about the furiously bold deposits. slyly ironic accoun
6183,338,F,219611.42,1992-06-16,3-MEDIUM,Clerk#000000157,0,"carefully idle, special dependenc"
6208,622,O,97758.39,1996-10-06,4-NOT SPECIFIED,Clerk#000000526,0,yly pending requests 
6209,1084,O,139391.54,1996-08-03,4-NOT SPECIFIED,Clerk#000000335,0,s cajole after the carefully even deposits. special foxes wake
6210,686,O,221058.76,1996-11-06,5-LOW,Clerk#000000351,0,ending theodolites. busily ironic dep
6211,1294,F,147948.12,1994-11-24,1-URGENT,Clerk#000000850,0, packages print within the ironic packages
6212,115,O,37842.28,1996-05-01,3-MEDIUM,Clerk#000000786,0,he furiously unusual accounts use fluffily fluffily entic
6213,1067,O,59338.89,1995-07-25,5-LOW,Clerk#000000337,0,ke slyly along the blithely unusual dependen
6214,148,O,3941.84,1996-07-03,3-MEDIUM,Clerk#000000711,0,ular accounts affix foxes. furiously ironic dependencies sleep c
6215,619,O,334919.60,1996-11-24,4-NOT SPECIFIED,Clerk#000000550,0,ckages. quickly final hockey players sleep furiously
6240,1202,O,194944.85,1998-06-03,1-URGENT,Clerk#000000407,0,"usly. final, idle courts wake. fluffily express packages cajole slyly caref"
6241,136,F,87037.94,1994-12-30,5-LOW,Clerk#000000353,0,nic ideas cajole furiously theodolites. slyly even p
6242,472,O,199497.95,1997-12-02,3-MEDIUM,Clerk#000000172,0,ole carefully above the quickly bold accounts. idly even dependencies haggl
