p_partkey,p_name,p_mfgr,p_brand,p_type,p_size,p_container,p_retailprice,p_comment
476,cornflower deep turquoise slate sandy,Manufacturer#3,Brand#33,STANDARD POLISHED COPPER,33,WRAP PACK,1376.47,ithely sly foxes accor
477,plum peru spring firebrick lavender,Manufacturer#1,Brand#11,ECONOMY ANODIZED COPPER,35,JUMBO BAG,1377.47,sual p
478,lemon snow coral lime seashell,Manufacturer#4,Brand#45,STANDARD POLISHED COPPER,11,MED CASE,1378.47, carefully unusu
479,snow frosted slate magenta sky,Manufacturer#2,Brand#25,MEDIUM PLATED STEEL,35,SM BAG,1379.47,eas are fur
480,saddle light black drab navajo,Manufacturer#5,Brand#54,MEDIUM ANODIZED STEEL,31,WRAP BOX,1380.48, regular depo
481,slate red firebrick beige aquamarine,Manufacturer#1,Brand#14,MEDIUM BURNISHED BRASS,17,JUMBO PACK,1381.48,ly even pint
482,burnished spring azure green chocolate,Manufacturer#5,Brand#53,MEDIUM POLISHED STEEL,11,SM DRUM,1382.48,s deposits after the
483,deep white khaki floral cornflower,Manufacturer#1,Brand#15,MEDIUM ANODIZED COPPER,9,SM PKG,1383.48,he depths nag fur
484,bisque rosy olive peach chiffon,Manufacturer#1,Brand#15,MEDIUM POLISHED BRASS,34,SM CASE,1384.48,ntly along the slyly u
485,orchid dark antique deep ivory,Manufacturer#3,Brand#31,PROMO PLATED STEEL,44,LG JAR,1385.48,nts. slyly regular dep
486,tomato lime moccasin turquoise grey,Manufacturer#4,Brand#45,SMALL PLATED COPPER,15,MED PKG,1386.48,theodolites hinder f
487,firebrick saddle chocolate peru ghost,Manufacturer#5,Brand#52,SMALL BRUSHED COPPER,43,WRAP PACK,1387.48,the carefully 
488,forest puff drab beige blue,Manufacturer#2,Brand#21,PROMO PLATED BRASS,47,JUMBO JAR,1388.48,ts haggle after the 
489,smoke green blush deep royal,Manufacturer#2,Brand#22,LARGE BURNISHED TIN,36,LG CAN,1389.48,ecial platelets impre
490,yellow mint saddle dodger orchid,Manufacturer#4,Brand#41,SMALL PLATED NICKEL,11,MED BOX,1390.49,ckly. carefully quiet 
491,snow mint rose almond frosted,Manufacturer#3,Brand#31,SMALL POLISHED BRASS,42,MED JAR,1391.49, regular
492,turquoise rose navajo deep chiffon,Manufacturer#4,Brand#42,MEDIUM BRUSHED COPPER,13,JUMBO DRUM,1392.49,sly special instruct
493,blue gainsboro sky burnished puff,Manufacturer#4,Brand#45,MEDIUM BURNISHED BRASS,8,MED PKG,1393.49,regular req
494,navy pale frosted lawn spring,Manufacturer#4,Brand#42,STANDARD BRUSHED NICKEL,40,MED PKG,1394.49,totes; slyly spe
495,lemon burlywood chartreuse forest honeydew,Manufacturer#4,Brand#42,SMALL BRUSHED BRASS,28,MED PKG,1395.49,y regular id
496,orchid bisque antique ivory lavender,Manufacturer#1,Brand#12,STANDARD BRUSHED BRASS,11,SM BAG,1396.49,ng packa
497,hot powder dim cream metallic,Manufacturer#2,Brand#25,PROMO PLATED TIN,1,SM CAN,1397.49,rding to the 
498,sandy sky gainsboro peach cornflower,Manufacturer#2,Brand#25,MEDIUM POLISHED STEEL,21,WRAP CASE,1398.49,encies wake at
499,lemon pale blue burnished white,Manufacturer#3,Brand#35,SMALL PLATED COPPER,38,JUMBO PKG,1399.49,nts: carefully da
500,hot medium spring orange violet,Manufacturer#4,Brand#41,MEDIUM POLISHED STEEL,13,SM JAR,1400.50,ts un
501,tomato navy midnight cyan chiffon,Manufacturer#4,Brand#45,SMALL BURNISHED COPPER,37,SM BAG,1401.50,ronic deposit
502,maroon dark plum brown red,Manufacturer#2,Brand#21,SMALL PLATED TIN,6,JUMBO DRUM,1402.50,furiously above t
503,lavender cyan red lace light,Manufacturer#2,Brand#24,PROMO BRUSHED NICKEL,30,SM PKG,1403.50,e even a
504,pink tan papaya ivory lace,Manufacturer#2,Brand#24,PROMO BRUSHED STEEL,10,SM JAR,1404.50,sleep fluffily quick
505,pink cornsilk antique mint forest,Manufacturer#4,Brand#42,STANDARD PLATED BRASS,32,WRAP JAR,1405.50,hely. ir
506,beige floral goldenrod lace almond,Manufacturer#1,Brand#14,PROMO BRUSHED NICKEL,30,WRAP PACK,1406.50,s. blithely ir
507,red misty salmon ivory khaki,Manufacturer#4,Brand#43,SMALL ANODIZED BRASS,20,SM CASE,1407.50,ironic ideas. unusual
508,pale peach maroon burlywood tan,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,40,WRAP PKG,1408.50, regular depo
509,tomato cornsilk chartreuse blue magenta,Manufacturer#1,Brand#13,MEDIUM BRUSHED NICKEL,30,MED CAN,1409.50,nts. fluffily 
510,blush thistle orchid red lace,Manufacturer#4,Brand#43,SMALL PLATED NICKEL,25,JUMBO PACK,1410.51,riously careful d
511,red pale plum orchid moccasin,Manufacturer#1,Brand#15,STANDARD BRUSHED COPPER,2,LG JAR,1411.51,osits. iro
512,firebrick azure mint chocolate wheat,Manufacturer#5,Brand#51,PROMO ANODIZED COPPER,18,LG PACK,1412.51,lithely ironi
513,mint thistle chiffon magenta salmon,Manufacturer#3,Brand#32,MEDIUM BRUSHED STEEL,10,WRAP CAN,1413.51,ly. caref
514,rosy sienna purple light rose,Manufacturer#4,Brand#42,LARGE POLISHED BRASS,10,JUMBO BOX,1414.51,hely 
515,cream navajo drab dark peru,Manufacturer#5,Brand#53,MEDIUM PLATED TIN,37,WRAP BOX,1415.51,even packages use 
516,purple linen lace blanched snow,Manufacturer#1,Brand#12,SMALL BRUSHED NICKEL,28,LG CAN,1416.51,even instr
517,aquamarine rosy violet moccasin snow,Manufacturer#3,Brand#34,SMALL BURNISHED COPPER,30,WRAP CAN,1417.51,believ
518,yellow tomato lawn rosy lemon,Manufacturer#4,Brand#43,PROMO BRUSHED BRASS,33,JUMBO DRUM,1418.51,counts cajole 
519,violet medium dark red smoke,Manufacturer#3,Brand#32,LARGE BRUSHED BRASS,24,WRAP PACK,1419.51,y special dependencie
520,spring honeydew sky sandy almond,Manufacturer#1,Brand#12,PROMO BURNISHED BRASS,49,MED CASE,1420.52,s. inst
521,grey drab honeydew coral pale,Manufacturer#3,Brand#35,PROMO BRUSHED STEEL,21,JUMBO DRUM,1421.52,s. furious
522,frosted lawn violet turquoise coral,Manufacturer#3,Brand#32,STANDARD BRUSHED NICKEL,15,MED CASE,1422.52,ar ideas boost
523,light goldenrod honeydew indian lemon,Manufacturer#4,Brand#42,ECONOMY BRUSHED NICKEL,7,JUMBO JAR,1423.52,jole sly
524,burnished hot drab midnight tan,Manufacturer#1,Brand#14,SMALL ANODIZED STEEL,17,JUMBO PACK,1424.52,usly u
525,plum midnight coral snow lemon,Manufacturer#3,Brand#33,STANDARD BURNISHED STEEL,47,JUMBO CAN,1425.52,ites cajol
526,dodger moccasin wheat puff lace,Manufacturer#5,Brand#53,PROMO ANODIZED BRASS,47,JUMBO PKG,1426.52,lar packag
527,moccasin light purple sky magenta,Manufacturer#3,Brand#32,MEDIUM POLISHED NICKEL,39,LG JAR,1427.52,thely instead of
528,dim deep puff pink floral,Manufacturer#2,Brand#24,STANDARD PLATED STEEL,40,LG CAN,1428.52,en theodolit
529,powder tan brown royal blush,Manufacturer#3,Brand#31,MEDIUM PLATED NICKEL,33,SM PKG,1429.52,. carefully 
530,mint grey chiffon magenta saddle,Manufacturer#4,Brand#42,PROMO PLATED STEEL,45,JUMBO CASE,1430.53,totes cajole 
531,navajo hot forest puff olive,Manufacturer#2,Brand#22,ECONOMY POLISHED NICKEL,16,WRAP DRUM,1431.53,e dep
532,spring wheat purple chiffon puff,Manufacturer#1,Brand#14,LARGE BRUSHED NICKEL,45,WRAP BAG,1432.53, accounts. 
533,cream lemon goldenrod rosy aquamarine,Manufacturer#2,Brand#24,PROMO PLATED STEEL,38,JUMBO PACK,1433.53, even requests wake ir
534,bisque saddle hot steel frosted,Manufacturer#5,Brand#53,STANDARD PLATED NICKEL,27,LG CASE,1434.53,uickly unusual or
535,mint chocolate tomato peach sky,Manufacturer#5,Brand#53,STANDARD PLATED TIN,17,SM CASE,1435.53,ackages. carefu
536,orchid snow thistle peru moccasin,Manufacturer#2,Brand#23,STANDARD PLATED STEEL,36,JUMBO BAG,1436.53,equests
537,hot orange red cornsilk goldenrod,Manufacturer#1,Brand#15,ECONOMY BRUSHED TIN,26,WRAP BOX,1437.53,he final foxes are car
538,rose black peach orchid cyan,Manufacturer#1,Brand#15,ECONOMY POLISHED STEEL,24,SM PACK,1438.53,quests ab
539,dodger midnight salmon drab saddle,Manufacturer#3,Brand#34,MEDIUM BURNISHED TIN,4,SM DRUM,1439.53,excuses aroun
540,violet white steel chocolate burlywood,Manufacturer#1,Brand#14,MEDIUM PLATED NICKEL,7,LG PACK,1440.54,xcuses. packages wake
541,magenta tan antique sky pale,Manufacturer#3,Brand#35,STANDARD ANODIZED NICKEL,34,LG JAR,1441.54,eep idly above the sly
542,light lace gainsboro coral lavender,Manufacturer#1,Brand#11,SMALL BRUSHED STEEL,40,WRAP CASE,1442.54,ruction
543,sky powder saddle metallic moccasin,Manufacturer#5,Brand#54,ECONOMY POLISHED BRASS,4,JUMBO BOX,1443.54,s. furio
544,peach red azure indian lavender,Manufacturer#2,Brand#22,STANDARD BURNISHED NICKEL,42,SM CASE,1444.54,", final i"
545,purple peru ivory gainsboro peach,Manufacturer#3,Brand#31,LARGE PLATED NICKEL,14,MED JAR,1445.54,s the fluffily even id
546,metallic grey black rosy papaya,Manufacturer#2,Brand#25,ECONOMY ANODIZED STEEL,8,LG CASE,1446.54,counts a
547,white turquoise olive cornflower pale,Manufacturer#4,Brand#43,MEDIUM BURNISHED COPPER,48,WRAP DRUM,1447.54,refully even accounts:
548,cyan lime lawn misty mint,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,28,SM CAN,1448.54,ly re
549,thistle green indian sandy purple,Manufacturer#5,Brand#53,SMALL BRUSHED BRASS,36,SM CAN,1449.54,ven pac
550,brown blush dark white mint,Manufacturer#4,Brand#44,STANDARD BRUSHED STEEL,27,SM JAR,1450.55,"lites. even, "
551,tan misty floral firebrick puff,Manufacturer#5,Brand#54,LARGE BURNISHED TIN,10,MED JAR,1451.55,ts promise busily furi
552,lime violet puff snow chiffon,Manufacturer#4,Brand#44,LARGE POLISHED BRASS,1,JUMBO CAN,1452.55,ckages sleep idly 
553,gainsboro tomato lawn peru bisque,Manufacturer#2,Brand#23,SMALL POLISHED NICKEL,1,WRAP DRUM,1453.55,furiously silent i
554,blue medium royal blush ghost,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,31,LG JAR,1454.55,deposits print
555,midnight honeydew brown beige slate,Manufacturer#4,Brand#42,PROMO BURNISHED TIN,49,SM JAR,1455.55,ep abo
556,frosted antique aquamarine seashell powder,Manufacturer#2,Brand#23,SMALL BRUSHED BRASS,49,WRAP JAR,1456.55,al accounts. bold
557,firebrick ghost steel green chartreuse,Manufacturer#3,Brand#35,LARGE BURNISHED TIN,8,JUMBO PKG,1457.55,ly regular
558,blanched seashell navy black dim,Manufacturer#3,Brand#31,STANDARD PLATED BRASS,25,MED BOX,1458.55,rate carefully
559,wheat coral navajo cornflower dark,Manufacturer#3,Brand#31,LARGE PLATED STEEL,27,SM PKG,1459.55,he express requests
560,tan indian lime olive dodger,Manufacturer#2,Brand#25,STANDARD BRUSHED COPPER,37,WRAP PKG,1460.56,ccounts. fina
561,firebrick slate grey coral goldenrod,Manufacturer#1,Brand#14,SMALL POLISHED STEEL,44,JUMBO CASE,1461.56, cajole careful
562,tan blue thistle forest cornsilk,Manufacturer#3,Brand#32,SMALL BURNISHED STEEL,16,MED PACK,1462.56, the pe
563,blanched light indian goldenrod dim,Manufacturer#3,Brand#31,MEDIUM POLISHED STEEL,39,MED DRUM,1463.56,uests. excuses 
564,drab bisque puff ghost floral,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,41,SM PKG,1464.56,lly slyly even accoun
565,coral mint sky rosy red,Manufacturer#1,Brand#14,PROMO BRUSHED STEEL,9,JUMBO JAR,1465.56,r foxes. final requ
566,seashell dark yellow turquoise white,Manufacturer#2,Brand#25,ECONOMY BURNISHED TIN,19,LG PKG,1466.56,ns wake pending acc
567,cornsilk lace white medium honeydew,Manufacturer#5,Brand#55,STANDARD BRUSHED STEEL,19,JUMBO BAG,1467.56,requests. acco
568,purple burlywood pale cornsilk chartreuse,Manufacturer#3,Brand#31,PROMO POLISHED STEEL,6,SM BOX,1468.56,ld requests eat c
569,cornflower burlywood blue spring purple,Manufacturer#4,Brand#41,SMALL BRUSHED TIN,46,MED BOX,1469.56,egular deposit
570,cyan navajo turquoise forest firebrick,Manufacturer#5,Brand#51,ECONOMY BRUSHED COPPER,44,SM PKG,1470.57,ular 
571,medium orchid purple metallic ghost,Manufacturer#2,Brand#22,LARGE PLATED TIN,1,WRAP CAN,1471.57,regular a
572,navy plum lime goldenrod saddle,Manufacturer#4,Brand#43,LARGE BURNISHED COPPER,3,SM BOX,1472.57,g packages d
573,dark midnight forest lace sandy,Manufacturer#2,Brand#23,SMALL PLATED TIN,42,WRAP PACK,1473.57,"t, iro"
574,bisque snow turquoise lace blush,Manufacturer#2,Brand#23,SMALL PLATED BRASS,36,SM PACK,1474.57, quick
575,brown seashell hot lavender frosted,Manufacturer#1,Brand#14,SMALL BRUSHED NICKEL,10,MED CAN,1475.57,ly express cou
576,puff lavender black yellow lawn,Manufacturer#3,Brand#32,PROMO BURNISHED TIN,27,SM CAN,1476.57,lithely regular the
577,lime green dark misty chiffon,Manufacturer#2,Brand#22,LARGE BRUSHED STEEL,34,JUMBO BAG,1477.57,packages;
578,black lawn light plum blush,Manufacturer#4,Brand#41,MEDIUM ANODIZED NICKEL,9,WRAP DRUM,1478.57,y furiously reg
579,spring brown peach bisque sienna,Manufacturer#3,Brand#31,STANDARD POLISHED STEEL,8,WRAP JAR,1479.57,accounts among t
580,navajo chocolate lemon hot green,Manufacturer#1,Brand#12,LARGE BURNISHED COPPER,30,JUMBO PACK,1480.58, final pac
581,frosted gainsboro chiffon lawn green,Manufacturer#2,Brand#25,ECONOMY ANODIZED BRASS,44,SM BAG,1481.58,fully special request
582,tan cyan peach rose salmon,Manufacturer#4,Brand#45,LARGE BRUSHED TIN,23,MED JAR,1482.58,pecial
583,turquoise burnished orchid firebrick blush,Manufacturer#3,Brand#33,LARGE BURNISHED NICKEL,35,JUMBO CAN,1483.58,es grow
584,goldenrod magenta papaya medium chiffon,Manufacturer#1,Brand#12,SMALL POLISHED COPPER,42,MED JAR,1484.58,ackages use fl
585,slate hot honeydew midnight burnished,Manufacturer#5,Brand#53,SMALL PLATED COPPER,7,JUMBO PKG,1485.58,ckages acros
586,ivory rosy royal powder firebrick,Manufacturer#1,Brand#11,PROMO ANODIZED BRASS,11,LG DRUM,1486.58, instructions. care
587,blanched maroon blush burlywood salmon,Manufacturer#4,Brand#44,SMALL POLISHED STEEL,35,MED PKG,1487.58,ly silent depos
588,cyan powder brown sandy burlywood,Manufacturer#5,Brand#55,SMALL PLATED COPPER,45,WRAP BAG,1488.58,"cial, even theodol"
589,red orange salmon rosy thistle,Manufacturer#1,Brand#13,LARGE POLISHED BRASS,3,SM PKG,1489.58,eep blithel
590,azure burnished honeydew navy cyan,Manufacturer#4,Brand#42,LARGE POLISHED COPPER,38,WRAP PKG,1490.59,osits sleep. epit
591,sienna burlywood salmon navy green,Manufacturer#1,Brand#14,ECONOMY PLATED NICKEL,40,SM PKG,1491.59,usly s
592,dodger burnished yellow wheat antique,Manufacturer#2,Brand#23,LARGE POLISHED STEEL,7,MED DRUM,1492.59,"osits. unusual, bo"
593,metallic sienna sandy spring frosted,Manufacturer#2,Brand#25,PROMO POLISHED STEEL,20,JUMBO CASE,1493.59,se blithe
594,seashell magenta rosy cornsilk smoke,Manufacturer#3,Brand#31,PROMO BRUSHED BRASS,28,SM JAR,1494.59, beans are 
595,chiffon lace linen steel bisque,Manufacturer#5,Brand#51,PROMO BRUSHED BRASS,23,JUMBO JAR,1495.59,ter the
596,drab snow chartreuse dim ivory,Manufacturer#5,Brand#52,STANDARD POLISHED TIN,35,JUMBO JAR,1496.59,unusu
597,cyan orchid grey tan bisque,Manufacturer#4,Brand#44,STANDARD ANODIZED NICKEL,36,SM DRUM,1497.59,counts sleep final
598,deep royal drab violet chartreuse,Manufacturer#2,Brand#24,MEDIUM POLISHED BRASS,9,MED JAR,1498.59,g deposits. blithel
599,cornsilk peru steel beige blue,Manufacturer#5,Brand#51,MEDIUM BRUSHED NICKEL,30,JUMBO PACK,1499.59,fully special fo
600,puff bisque midnight seashell burlywood,Manufacturer#4,Brand#42,STANDARD POLISHED NICKEL,4,SM JAR,1500.60, cajole about the
601,coral thistle blanched linen tan,Manufacturer#1,Brand#13,STANDARD POLISHED BRASS,13,SM PKG,1501.60,n theodolit
602,metallic smoke purple rosy magenta,Manufacturer#1,Brand#12,PROMO BRUSHED COPPER,8,SM BAG,1502.60,regular 
603,dim blush puff chiffon salmon,Manufacturer#1,Brand#12,PROMO ANODIZED COPPER,41,WRAP PKG,1503.60,nstructions integrate
604,bisque light frosted white olive,Manufacturer#4,Brand#41,MEDIUM PLATED STEEL,19,MED PACK,1504.60,al packages wake flu
605,grey burlywood linen tan tomato,Manufacturer#1,Brand#11,LARGE POLISHED STEEL,30,LG JAR,1505.60, quickly. slyly un
606,navajo lace sandy aquamarine light,Manufacturer#3,Brand#32,STANDARD PLATED STEEL,36,LG DRUM,1506.60,sly ex
607,dark sienna thistle sandy maroon,Manufacturer#5,Brand#54,MEDIUM POLISHED TIN,13,MED JAR,1507.60,ss accounts. s
608,mint medium blush black metallic,Manufacturer#2,Brand#25,PROMO PLATED BRASS,35,JUMBO PKG,1508.60,gular instruct
609,almond lemon olive smoke moccasin,Manufacturer#2,Brand#21,ECONOMY BRUSHED TIN,49,JUMBO DRUM,1509.60,ly blithely bold pin
610,plum purple seashell white lemon,Manufacturer#1,Brand#11,ECONOMY BURNISHED TIN,38,JUMBO BOX,1510.61,arefully bold re
611,light burnished linen sienna dim,Manufacturer#4,Brand#42,MEDIUM PLATED TIN,45,SM DRUM,1511.61,ructions among the car
612,midnight azure moccasin rosy lawn,Manufacturer#4,Brand#42,PROMO PLATED STEEL,19,LG BOX,1512.61,y final dol
613,cream coral sandy thistle spring,Manufacturer#3,Brand#34,LARGE BURNISHED COPPER,22,LG DRUM,1513.61,efull
614,dodger beige maroon puff medium,Manufacturer#2,Brand#23,STANDARD BURNISHED NICKEL,6,WRAP PKG,1514.61,lways even account
615,rosy seashell brown blush tan,Manufacturer#4,Brand#41,PROMO ANODIZED COPPER,4,WRAP PKG,1515.61,es haggl
616,tan powder lavender dim goldenrod,Manufacturer#2,Brand#25,STANDARD BRUSHED STEEL,1,WRAP JAR,1516.61,unusual accounts. f
617,peru grey snow papaya firebrick,Manufacturer#2,Brand#22,MEDIUM ANODIZED NICKEL,37,WRAP DRUM,1517.61,ruction
618,ivory wheat smoke deep lemon,Manufacturer#2,Brand#22,PROMO BRUSHED BRASS,9,LG BOX,1518.61,accounts sleep 
619,powder medium drab lemon tomato,Manufacturer#3,Brand#34,LARGE ANODIZED STEEL,46,MED JAR,1519.61,hely pendi
620,frosted tomato almond salmon powder,Manufacturer#3,Brand#35,MEDIUM BRUSHED COPPER,4,LG PKG,1520.62,ly even deposits. regu
621,almond azure drab ghost mint,Manufacturer#5,Brand#53,PROMO PLATED TIN,47,JUMBO DRUM,1521.62,nic packages detect
622,burlywood dark blue thistle navajo,Manufacturer#5,Brand#51,LARGE POLISHED STEEL,19,WRAP BAG,1522.62,al packages int
623,chiffon bisque steel orange tomato,Manufacturer#3,Brand#32,ECONOMY POLISHED NICKEL,8,MED BOX,1523.62,r deposits
624,burlywood ghost orchid misty coral,Manufacturer#1,Brand#12,LARGE BURNISHED NICKEL,29,SM BAG,1524.62,fluffily accord
625,beige indian lime sienna plum,Manufacturer#3,Brand#35,SMALL PLATED COPPER,38,LG JAR,1525.62,ctions: carefully iro
626,cream ivory brown peach honeydew,Manufacturer#1,Brand#12,SMALL ANODIZED COPPER,23,SM JAR,1526.62,uriously alo
627,drab yellow spring turquoise rose,Manufacturer#4,Brand#44,PROMO ANODIZED NICKEL,13,SM BAG,1527.62,nt packag
628,black mint olive drab medium,Manufacturer#3,Brand#33,ECONOMY BRUSHED BRASS,40,LG BOX,1528.62,ending
629,magenta lace red hot pale,Manufacturer#5,Brand#51,MEDIUM POLISHED COPPER,25,WRAP BOX,1529.62,ckages boost.
630,lawn lace burnished hot frosted,Manufacturer#2,Brand#25,MEDIUM PLATED NICKEL,20,LG DRUM,1530.63,sly. bl
631,moccasin lawn cornsilk chartreuse midnight,Manufacturer#2,Brand#22,STANDARD ANODIZED NICKEL,34,WRAP BAG,1531.63,e careful
632,blush floral tan thistle chiffon,Manufacturer#3,Brand#34,PROMO PLATED NICKEL,2,MED PACK,1532.63,s use slyly. sl
633,navy burnished wheat slate deep,Manufacturer#3,Brand#33,ECONOMY POLISHED NICKEL,24,MED PKG,1533.63,ffily fin
634,grey aquamarine deep violet blush,Manufacturer#3,Brand#35,SMALL ANODIZED NICKEL,34,MED DRUM,1534.63,silen
635,ghost aquamarine gainsboro lemon peach,Manufacturer#5,Brand#51,PROMO POLISHED STEEL,49,WRAP JAR,1535.63,oxes doubt blithe
636,burlywood deep antique snow wheat,Manufacturer#5,Brand#55,PROMO BRUSHED STEEL,36,SM PACK,1536.63,. unus
637,brown smoke sandy honeydew antique,Manufacturer#5,Brand#51,LARGE BURNISHED NICKEL,48,JUMBO CASE,1537.63, carefully final pinto
638,lace royal pink cornsilk antique,Manufacturer#5,Brand#54,SMALL PLATED TIN,37,JUMBO PACK,1538.63,blithely ironic accou
639,black plum tomato cornflower medium,Manufacturer#2,Brand#25,STANDARD POLISHED BRASS,33,SM BAG,1539.63,deas against the caref
640,grey seashell bisque indian deep,Manufacturer#1,Brand#12,MEDIUM BRUSHED TIN,20,WRAP CASE,1540.64,ions haggle amo
641,mint saddle yellow sienna frosted,Manufacturer#5,Brand#55,MEDIUM PLATED COPPER,18,SM JAR,1541.64,ts use bold
642,moccasin ghost sandy goldenrod cornsilk,Manufacturer#4,Brand#43,ECONOMY BRUSHED BRASS,12,MED PACK,1542.64,r instructions wak
643,frosted chocolate dodger honeydew ghost,Manufacturer#3,Brand#32,MEDIUM POLISHED STEEL,8,MED DRUM,1543.64,. quickly ex
644,rosy bisque hot burnished dark,Manufacturer#5,Brand#52,LARGE PLATED STEEL,34,SM PACK,1544.64, express account
645,thistle sky antique khaki chartreuse,Manufacturer#4,Brand#45,MEDIUM BURNISHED NICKEL,45,LG CASE,1545.64,s affix slyl
646,tan honeydew lime light white,Manufacturer#5,Brand#52,SMALL POLISHED COPPER,21,LG PACK,1546.64,instructions hang ex
647,rose khaki drab smoke peach,Manufacturer#3,Brand#35,LARGE BURNISHED STEEL,38,MED PKG,1547.64,hely along the car
648,bisque blue drab cyan almond,Manufacturer#3,Brand#34,SMALL BRUSHED STEEL,2,WRAP JAR,1548.64, furiously e
649,lavender blush rosy beige sky,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,33,JUMBO DRUM,1549.64,y iron
650,bisque navajo mint medium seashell,Manufacturer#5,Brand#53,PROMO ANODIZED NICKEL,40,MED JAR,1550.65,orses sleep
651,bisque floral dim burlywood moccasin,Manufacturer#5,Brand#52,MEDIUM POLISHED BRASS,4,WRAP BAG,1551.65,r the enticingly even
652,navajo white indian yellow grey,Manufacturer#1,Brand#12,LARGE BRUSHED TIN,39,WRAP PKG,1552.65, above the pending 
653,lime cornflower sky beige antique,Manufacturer#1,Brand#15,ECONOMY BURNISHED BRASS,28,JUMBO DRUM,1553.65,ts. ir
654,cyan burnished tomato chiffon navy,Manufacturer#2,Brand#23,PROMO PLATED COPPER,2,WRAP BAG,1554.65,hinly unusual 
655,tomato firebrick yellow rosy orchid,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,23,JUMBO CAN,1555.65,ckly after the c
656,maroon dodger ghost gainsboro pink,Manufacturer#1,Brand#15,STANDARD BURNISHED COPPER,17,MED CASE,1556.65,egular instru
657,saddle lawn blue cyan cornsilk,Manufacturer#3,Brand#31,ECONOMY BURNISHED COPPER,36,LG PACK,1557.65,regular ideas? f
658,ghost mint hot bisque salmon,Manufacturer#1,Brand#15,MEDIUM PLATED COPPER,27,SM JAR,1558.65,he blithely ironic re
659,black bisque plum pale cyan,Manufacturer#3,Brand#34,MEDIUM BRUSHED BRASS,20,LG JAR,1559.65,wake slyly.
660,sky dim thistle saddle pale,Manufacturer#5,Brand#51,STANDARD POLISHED TIN,8,SM CAN,1560.66,usly regular accounts
661,snow beige moccasin red lime,Manufacturer#3,Brand#32,PROMO PLATED STEEL,35,SM PKG,1561.66,uses hagg
662,ivory chocolate slate midnight ghost,Manufacturer#4,Brand#45,STANDARD PLATED STEEL,35,LG PACK,1562.66,the a
663,ivory orchid azure frosted light,Manufacturer#4,Brand#41,PROMO POLISHED COPPER,6,WRAP PACK,1563.66,ons de
664,frosted burnished tomato chiffon seashell,Manufacturer#4,Brand#43,MEDIUM BURNISHED TIN,26,LG BAG,1564.66, final dependenci
665,rose antique cyan cornflower drab,Manufacturer#1,Brand#13,MEDIUM POLISHED STEEL,14,MED DRUM,1565.66,regular multiplie
666,ivory dim orchid antique spring,Manufacturer#1,Brand#13,ECONOMY BURNISHED NICKEL,20,MED PACK,1566.66,out the never regula
667,wheat ghost honeydew plum grey,Manufacturer#4,Brand#43,MEDIUM PLATED STEEL,42,MED JAR,1567.66," deposits. regular, s"
668,honeydew pink dodger cream dim,Manufacturer#2,Brand#22,SMALL ANODIZED NICKEL,10,LG PACK,1568.66,kages haggle. b
669,khaki metallic plum smoke hot,Manufacturer#1,Brand#11,STANDARD BRUSHED TIN,37,MED BAG,1569.66,le at the e
670,slate black smoke pale moccasin,Manufacturer#1,Brand#12,ECONOMY PLATED COPPER,24,LG DRUM,1570.67,carefully ironic idea
671,powder metallic salmon slate chocolate,Manufacturer#5,Brand#53,SMALL PLATED STEEL,31,JUMBO BOX,1571.67,ans a
672,lawn rosy cornsilk floral misty,Manufacturer#2,Brand#23,PROMO BURNISHED STEEL,13,LG PACK,1572.67,aids 
673,navy azure sandy yellow sky,Manufacturer#2,Brand#23,MEDIUM ANODIZED COPPER,26,SM DRUM,1573.67,jole qui
674,tomato chartreuse cornflower green pale,Manufacturer#3,Brand#35,SMALL BRUSHED TIN,5,LG PKG,1574.67, courts. excuses un
675,misty hot pale ghost yellow,Manufacturer#1,Brand#11,LARGE BRUSHED COPPER,2,SM CAN,1575.67,lyly e
676,moccasin cornflower burlywood tomato light,Manufacturer#1,Brand#11,MEDIUM ANODIZED BRASS,45,SM CAN,1576.67, bold packages. slyly
677,pale steel blush mint cream,Manufacturer#4,Brand#44,PROMO ANODIZED BRASS,6,WRAP BAG,1577.67,old foxes
678,salmon ivory red dodger spring,Manufacturer#4,Brand#44,PROMO BRUSHED TIN,15,SM BAG,1578.67,e alongsi
679,purple blanched linen metallic indian,Manufacturer#4,Brand#41,SMALL BURNISHED TIN,50,MED BOX,1579.67,y carefully even
680,burnished ghost coral maroon yellow,Manufacturer#1,Brand#14,SMALL PLATED COPPER,44,LG PACK,1580.68,ly fin
681,dark slate almond ghost chartreuse,Manufacturer#3,Brand#32,ECONOMY PLATED COPPER,9,WRAP CAN,1581.68,unts. finally final in
682,lawn khaki green cornflower sienna,Manufacturer#5,Brand#53,LARGE POLISHED NICKEL,48,SM BOX,1582.68,". final, "
683,sienna cornsilk chiffon olive blush,Manufacturer#5,Brand#53,LARGE BURNISHED NICKEL,1,MED PACK,1583.68,eep acc
